timestamp,cash,unrealized,equity,side,entries,position_notional,peak,drawdown_usdt,drawdown_pct
2020-01-10 04:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 05:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 06:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 07:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 08:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 09:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 10:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 11:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 12:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 13:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 14:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 15:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 16:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 17:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 18:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 19:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 20:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 21:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 22:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-10 23:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 00:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 01:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 02:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 03:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 04:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 05:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 06:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 07:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 08:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
2020-01-11 09:00:00+00:00,1000.0,0.0,1000.0,0,0,0.0,1000.0,0.0,0.0
